DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Oberösterreich,2017,10133.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Oberösterreich,2018,10149.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Oberösterreich,2019,10057.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Oberösterreich,2020,10071.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Oberösterreich,2021,9837.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Oberösterreich,2022,9660.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Salzburg,2013,5078.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Salzburg,2014,5056.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Salzburg,2015,4980.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Salzburg,2016,5029.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Salzburg,2017,4948.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Salzburg,2018,4891.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Salzburg,2019,4840.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Salzburg,2020,4656.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Salzburg,2021,4480.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Salzburg,2022,4545.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Tirol,2013,5056.00,
